Date,Earnings,Players,Tournaments,Game
Jan 98,15000,8,1,QuakeWorld
May 98,14600,4,1,Quake II
Jul 98,15000,5,1,Quake II
Jul 98,6500,4,1,QuakeWorld
Nov 98,36600,13,2,Quake II
Nov 98,22000,0,1,QuakeWorld
Nov 98,20000,8,1,StarCraft: Brood War
Dec 98,2000,1,1,Age of Empires
Mar 99,15000,5,1,Quake II
Apr 99,3000,2,1,StarCraft: Brood War
May 99,27400,8,1,Quake II
May 99,27400,8,1,StarCraft: Brood War
Aug 99,50000,1,1,Descent 3
Aug 99,49498.86,9,2,StarCraft: Brood War
Sep 99,34666.16,15,3,StarCraft: Brood War
Sep 99,16400,6,1,Quake III Arena
Oct 99,26800,12,1,Quake III Arena
Dec 99,24988.82,16,4,StarCraft: Brood War
Jan 00,35335.86,2,1,Age of Empires II
Jan 00,23820.16,15,3,StarCraft: Brood War
Feb 00,4000,3,1,Quake III Arena
Feb 00,450,5,1,Age of Empires II
Apr 00,110927.63,43,8,Quake III Arena
Apr 00,9500,4,1,Age of Empires
Apr 00,5015,1,1,Age of Empires II
May 00,17977.49,16,1,StarCraft: Brood War
May 00,12300,5,2,Quake III Arena
May 00,225,0,2,Age of Empires II
Jun 00,6970,9,2,Quake III Arena
Jun 00,4494.37,1,1,StarCraft: Brood War
Jun 00,1006.8,5,2,Age of Empires II
Jul 00,23170,6,2,Quake III Arena
Jul 00,0,3,1,Marvel vs. Capcom 2
Jul 00,0,3,1,Street Fighter Alpha 2
Jul 00,0,3,1,Street Fighter Alpha 3
Jul 00,0,3,1,Street Fighter III: 3rd Strike
Jul 00,0,3,1,Super Street Fighter II Turbo
Aug 00,12853.9,4,1,StarCraft: Brood War
Aug 00,9192,9,3,Age of Empires II
Aug 00,5750,3,1,Quake III Arena
Sep 00,52059.98,11,5,Quake III Arena
Sep 00,12378.11,11,3,Age of Empires II
Sep 00,6292.12,1,2,StarCraft: Brood War
Oct 00,75000,5,3,Quake III Arena
Oct 00,50000,4,1,Age of Empires II
Oct 00,50000,4,1,FIFA 2000
Oct 00,50000,4,1,StarCraft: Brood War
Oct 00,0,3,1,Doom II: Hell on Earth
Nov 00,17600,16,1,StarCraft: Brood War
Dec 00,125060.21,75,4,Quake III Arena
Dec 00,23763.33,62,2,Counter-Strike
Dec 00,165.53,5,2,Age of Empires II
Jan 01,19055.71,12,3,Quake III Arena
Jan 01,5257,7,2,StarCraft: Brood War
Jan 01,4720.77,35,1,Counter-Strike
Jan 01,1200,6,2,Age of Empires II
Feb 01,3750,8,1,Quake III Arena
Mar 01,1641.29,12,5,Age of Empires II
Apr 01,43711.29,41,2,Counter-Strike
Apr 01,2272.23,8,3,Quake III Arena
Apr 01,200,1,1,Age of Empires II
May 01,15841.68,16,2,Quake III Arena
May 01,13131,41,1,Counter-Strike
May 01,12234.91,16,2,StarCraft: Brood War
May 01,500,1,1,Age of Empires II
Jun 01,500,4,1,Age of Empires II
Jul 01,15000,8,1,QuakeWorld
Jul 01,1800,16,2,Counter-Strike
Aug 01,58197.36,3,2,Quake III Arena
Aug 01,13197.36,41,1,Counter-Strike
Aug 01,500,1,1,Age of Empires II
Aug 01,0,3,1,Capcom vs. SNK
Aug 01,0,3,1,Marvel vs. Capcom 2
Aug 01,0,3,1,Street Fighter Alpha 3
Aug 01,0,3,1,Super Street Fighter II Turbo
Sep 01,22792.51,41,1,Counter-Strike
Sep 01,7806.4,16,1,StarCraft: Brood War
Oct 01,22000,15,2,Counter-Strike
Oct 01,13057.6,4,1,StarCraft: Brood War
Nov 01,95000,16,1,Age of Empires II
Nov 01,5239.51,5,1,Counter-Strike
Nov 01,2619.76,8,1,Quake III Arena
Dec 01,220000,109,2,Counter-Strike
Dec 01,61000,20,5,Age of Empires II
Dec 01,53538.08,24,3,StarCraft: Brood War
Dec 01,46000,9,2,FIFA 2001
Dec 01,46000,8,2,Quake III Arena
Dec 01,46000,9,2,Unreal Tournament
Dec 01,40000,1,1,Aliens versus Predator 2
Jan 02,1000,1,1,Age of Empires II
Feb 02,26000,15,1,Counter-Strike
Feb 02,1000,1,1,Age of Empires II
Mar 02,1035,17,1,Counter-Strike
Mar 02,1000,1,1,Age of Empires II
Apr 02,20338.4,6,2,StarCraft: Brood War
Apr 02,5500,4,2,Age of Empires II
Apr 02,0,3,1,Super Smash Bros. Melee
May 02,18411.62,42,1,Counter-Strike
May 02,9666.1,0,1,Quake III Arena
May 02,4913.16,1,1,StarCraft: Brood War
May 02,2000,4,2,Age of Empires II
Jun 02,28808.28,19,2,StarCraft: Brood War
Jun 02,1000,1,1,Age of Empires II
Jun 02,40,3,1,Super Smash Bros. Melee
Jul 02,112100.15,169,3,Counter-Strike
Jul 02,16450,9,4,Age of Empires II
Jul 02,9540.3,12,1,Quake III Arena
Jul 02,2000,3,1,StarCraft: Brood War
Aug 02,53000,30,1,Return to Castle Wolfenstein
Aug 02,40000,5,1,Quake III Arena
Aug 02,8850,14,8,Age of Empires II
Aug 02,0,3,1,Capcom vs. SNK 2
Aug 02,0,3,1,Marvel vs. Capcom 2
Aug 02,0,3,1,Super Street Fighter II Turbo
Sep 02,5856.64,6,1,Counter-Strike
Sep 02,5116,5,3,Age of Empires II
Sep 02,100,3,1,Age of Empires
Oct 02,33884.42,18,3,StarCraft: Brood War
Oct 02,9791.02,40,1,Counter-Strike
Oct 02,1000,1,1,Age of Empires II
Nov 02,86000,55,2,Counter-Strike
Nov 02,44000,9,2,Age of Empires II
Nov 02,43000,8,1,FIFA 2002 World Cup
Nov 02,43000,8,1,Quake III Arena
Nov 02,43000,8,1,StarCraft: Brood War
Nov 02,43000,8,1,Unreal Tournament
Nov 02,5000,21,2,Halo: Combat Evolved
Nov 02,4000,8,4,Unreal Tournament 2003
Nov 02,106,1,1,WarCraft III
Dec 02,141800.45,145,4,Counter-Strike
Dec 02,31179.25,11,3,WarCraft III
Dec 02,30000,16,1,Unreal Tournament 2003
Dec 02,14424.3,0,1,Return to Castle Wolfenstein
Dec 02,7679.25,0,1,NASCAR Thunder 2002
Dec 02,7679.25,0,1,Star Wars Jedi Knight II: Jedi Outcast
Dec 02,5950,13,2,Age of Empires II
Jan 03,10500,16,3,Age of Empires II
Jan 03,6051.2,6,1,StarCraft: Brood War
Jan 03,2050,7,2,Super Smash Bros. Melee
Jan 03,1280,30,2,Counter-Strike
Feb 03,24975.04,16,1,StarCraft: Brood War
Feb 03,2666.67,32,3,Counter-Strike
Feb 03,380,4,2,Age of Empires II
Mar 03,22817.54,65,4,Counter-Strike
Mar 03,12500,0,1,Halo: Combat Evolved
Mar 03,12500,3,1,Super Smash Bros. Melee
Mar 03,12500,0,1,Tekken 4
Mar 03,12500,0,1,Unreal Tournament 2003
Mar 03,8081.27,6,1,WarCraft III
Apr 03,51906.6,40,3,Counter-Strike
Apr 03,15741.88,3,1,WarCraft III
Apr 03,15199.05,0,1,Unreal Tournament 2003
Apr 03,14950,32,5,Halo: Combat Evolved
Apr 03,8663.46,3,2,Quake III Arena
Apr 03,7265.55,2,2,StarCraft: Brood War
Apr 03,1980,5,3,Age of Empires II
May 03,20355.3,52,6,Counter-Strike
May 03,760,6,4,Age of Empires II
May 03,625,4,1,Age of Empires
Jun 03,60804.35,63,5,Counter-Strike
Jun 03,44018,40,2,StarCraft: Brood War
Jun 03,27887.45,4,1,WarCraft III
Jun 03,5933.5,0,1,NASCAR Thunder 2003
Jun 03,380,4,2,Age of Empires II
Jul 03,133689.2,107,5,Counter-Strike
Jul 03,35839.25,28,3,StarCraft: Brood War
Jul 03,25617.5,9,3,Unreal Tournament 2003
Jul 03,20500,11,3,WarCraft III
Jul 03,10000,4,1,Quake III Arena
Jul 03,200,1,1,Age of Empires II
Aug 03,218835.22,126,5,Counter-Strike
Aug 03,76800,23,3,Quake III Arena
Aug 03,9457.36,3,1,Unreal Tournament 2003
Aug 03,7000,8,1,Age of Empires II
Aug 03,6755.26,4,1,WarCraft III
Aug 03,5066.44,3,1,FIFA 03
Aug 03,1000,1,1,Super Smash Bros. Melee
Aug 03,0,3,1,Capcom vs. SNK 2
Aug 03,0,3,1,Guilty Gear XX
Aug 03,0,3,1,Marvel vs. Capcom 2
Aug 03,0,3,1,Soul Calibur II
Aug 03,0,3,1,Street Fighter III: 3rd Strike
Aug 03,0,3,1,Super Street Fighter II Turbo
Aug 03,0,3,1,Tekken 4
Aug 03,0,3,1,Tekken Tag Tournament
Aug 03,0,3,1,Virtua Fighter 4: Evolution
Sep 03,52342.44,51,5,Counter-Strike
Sep 03,8113.13,17,6,WarCraft III
Sep 03,2329.2,4,1,StarCraft: Brood War
Oct 03,90848.8,58,3,StarCraft: Brood War
Oct 03,77962.88,90,7,Counter-Strike
Oct 03,49962.48,12,6,WarCraft III
Oct 03,49000,8,2,Age of Mythology
Oct 03,49000,7,2,FIFA 03
Oct 03,49000,8,2,Unreal Tournament 2003
Oct 03,40700,14,3,Halo: Combat Evolved
Oct 03,1500,3,1,Gran Turismo 3: A-Spec
Oct 03,1500,3,1,Madden NFL 2004
Oct 03,1500,3,1,Soul Calibur II
Oct 03,1000,4,1,Age of Empires II
Nov 03,65511.35,27,3,StarCraft: Brood War
Nov 03,50530.64,124,11,Counter-Strike
Nov 03,42562.34,29,9,WarCraft III
Nov 03,9000,32,2,Halo: Combat Evolved
Nov 03,3347.02,7,2,Age of Empires II
Dec 03,126187.15,121,5,Counter-Strike
Dec 03,30000,12,1,Halo: Combat Evolved
Dec 03,12028.52,4,1,WarCraft III
Dec 03,2491.62,5,1,Live for Speed
Dec 03,2150,15,2,Age of Empires II
Dec 03,0,0,1,FIFA 04
Jan 04,102004.09,19,3,StarCraft: Brood War
Jan 04,89700,23,5,WarCraft III
Jan 04,76529.3,85,5,Counter-Strike
Jan 04,5900,14,4,Age of Empires II
Jan 04,3000,8,1,Age of Mythology
Jan 04,1682.5,6,3,Super Smash Bros. Melee
Feb 04,38128.9,46,1,StarCraft: Brood War
Feb 04,13614.55,50,4,Counter-Strike
Feb 04,13500,20,3,Halo: Combat Evolved
Feb 04,1600,4,1,WarCraft III
Mar 04,30220.45,125,7,Counter-Strike
Mar 04,25871.1,16,1,StarCraft: Brood War
Mar 04,1500,8,1,Quake III Arena
Mar 04,825,8,2,Halo: Combat Evolved
Apr 04,42681.96,84,7,Counter-Strike
Apr 04,39368.63,7,2,StarCraft: Brood War
Apr 04,21048.08,8,3,WarCraft III
Apr 04,20235,41,5,Halo: Combat Evolved
May 04,40662.88,109,11,Counter-Strike
May 04,15769.77,20,11,WarCraft III
May 04,300,2,1,Age of Empires II
Jun 04,57327.74,158,10,Counter-Strike
Jun 04,28285.85,25,9,WarCraft III
Jun 04,25000,37,1,Age of Empires II
Jun 04,0,0,1,FIFA 04
Jun 04,0,1,1,Live for Speed
Jul 04,218264.97,198,10,Counter-Strike
Jul 04,94246.86,22,2,StarCraft: Brood War
Jul 04,38575.3,66,1,Counter-Strike: Condition Zero
Jul 04,35325.14,19,8,WarCraft III
Jul 04,25000,8,1,Pro Evolution Soccer 3
Jul 04,20000,17,1,Quake III Arena
Jul 04,10000,4,1,Painkiller
Jul 04,10000,4,1,Unreal Tournament 2004
Jul 04,700,2,1,Age of Empires II
Jul 04,500,2,2,Super Smash Bros. Melee
Aug 04,128249.95,177,7,Counter-Strike
Aug 04,90000,15,2,Quake III Arena
Aug 04,61556.61,23,3,StarCraft: Brood War
Aug 04,60448,10,4,Halo: Combat Evolved
Aug 04,60000,5,1,Doom 3
Aug 04,50000,51,1,Call of Duty
Aug 04,50000,25,1,Unreal Tournament 2004
Aug 04,42541.43,17,11,WarCraft III
Aug 04,25000,8,1,Painkiller
Aug 04,1712,12,2,Super Smash Bros. Melee
Aug 04,1000,5,2,Age of Empires II
Aug 04,0,3,1,Capcom vs. SNK 2
Aug 04,0,3,1,Guilty Gear XX
Aug 04,0,3,1,Marvel vs. Capcom 2
Aug 04,0,3,1,Soul Calibur II
Aug 04,0,3,1,Street Fighter III: 3rd Strike
Aug 04,0,3,1,Super Street Fighter II Turbo
Aug 04,0,3,1,Tekken 4
Aug 04,0,3,1,Tekken Tag Tournament
Aug 04,0,3,1,Virtua Fighter 4: Evolution
Sep 04,39832.96,81,7,Counter-Strike
Sep 04,20448,9,5,Halo: Combat Evolved
Sep 04,19631.03,33,6,WarCraft III
Sep 04,6512.41,8,1,Unreal Tournament 2004
Sep 04,1000,3,1,Super Smash Bros. Melee
Sep 04,487.07,3,2,Age of Empires II
Oct 04,120748.16,1,1,Doom 3
Oct 04,109080,14,3,StarCraft: Brood War
Oct 04,85000,15,1,Counter-Strike: Condition Zero
Oct 04,68000,21,3,Halo: Combat Evolved
Oct 04,51189.23,9,5,WarCraft III
Oct 04,40000,3,1,FIFA 04
Oct 04,40000,3,1,Unreal Tournament 2004
Oct 04,37498.7,77,6,Counter-Strike
Oct 04,35000,3,1,Need for Speed: Underground
Oct 04,35000,3,1,Project Gotham Racing 2
Oct 04,5750,7,2,Super Smash Bros. Melee
Oct 04,2700,2,1,Soul Calibur II
Oct 04,1750,3,1,Gran Turismo 3: A-Spec
Nov 04,65601.04,109,8,Counter-Strike
Nov 04,29521.78,23,9,WarCraft III
Nov 04,28176.96,16,1,StarCraft: Brood War
Nov 04,658.13,2,1,Age of Empires II
Dec 04,149167.17,154,7,Counter-Strike
Dec 04,38575.3,60,1,Counter-Strike: Condition Zero
Dec 04,27000,8,1,Doom 3
Dec 04,20000,16,1,Painkiller
Dec 04,18776.59,19,4,WarCraft III
Dec 04,11520,72,3,Age of Empires II
Dec 04,10000,18,1,Day of Defeat
Dec 04,0,0,1,FIFA 05
Dec 04,0,1,1,Live for Speed
Jan 05,116514.19,20,3,StarCraft: Brood War
Jan 05,19815.45,40,3,Counter-Strike
Jan 05,5024.02,4,2,WarCraft III
Jan 05,5000,8,2,Halo 2
Jan 05,4112,20,4,Super Smash Bros. Melee
Jan 05,50,1,1,Age of Empires II
Feb 05,132115.99,14,3,StarCraft: Brood War
Feb 05,39490.02,105,8,Counter-Strike
Feb 05,5000,12,2,Halo 2
Feb 05,4800,14,2,Counter-Strike: Source
Feb 05,1615,4,2,WarCraft III
Feb 05,1250,5,2,Super Smash Bros. Melee
Feb 05,200,1,1,Age of Empires II
Mar 05,161882.2,122,8,Counter-Strike
Mar 05,58470.46,18,3,WarCraft III
Mar 05,50000,16,1,Painkiller
Mar 05,43217.61,19,2,StarCraft: Brood War
Mar 05,15000,15,5,Halo 2
Mar 05,13470.46,3,1,Unreal Tournament 2004
Mar 05,8000,8,1,Age of Empires II
Mar 05,1250,6,2,Super Smash Bros. Melee
Mar 05,0,3,1,FIFA 05
Mar 05,0,3,1,Need for Speed: Underground 2
Mar 05,0,3,1,Project Gotham Racing 2
Apr 05,10789.93,77,4,Counter-Strike
Apr 05,6913.61,3,1,StarCraft: Brood War
Apr 05,5000,12,2,Halo 2
Apr 05,4364.5,3,1,WarCraft III
Apr 05,2000,4,1,Age of Empires II
Apr 05,1250,5,2,Super Smash Bros. Melee
May 05,119372.35,196,10,Counter-Strike
May 05,1.00E+05,21,2,Painkiller
May 05,7069.09,21,4,WarCraft III
May 05,3497.09,3,2,Quake III Arena
May 05,2704.76,7,2,StarCraft: Brood War
May 05,2000,5,1,Age of Empires II
May 05,1610.3,10,1,Counter-Strike: Source
Jun 05,107360.46,124,7,Counter-Strike
Jun 05,59811.51,27,7,WarCraft III
Jun 05,50000,16,1,Painkiller
Jun 05,15000,35,2,Age of Empires II
Jun 05,9427.07,0,1,FIFA 05
Jun 05,5450,16,3,Halo 2
Jun 05,4552.42,4,2,StarCraft: Brood War
Jun 05,3230,14,3,Super Smash Bros. Melee
Jun 05,1812.9,5,1,Live for Speed
Jul 05,345241.52,229,11,Counter-Strike
Jul 05,137098.82,32,3,StarCraft: Brood War
Jul 05,105000,26,3,WarCraft III
Jul 05,56500,49,2,Counter-Strike: Source
Jul 05,50000,16,1,Painkiller
Jul 05,40000,8,1,Pro Evolution Soccer 4
Jul 05,30000,23,1,Day of Defeat
Jul 05,15900,19,5,Halo 2
Jul 05,12000,4,1,Gran Turismo 4
Jul 05,12000,4,1,Quake III Arena
Jul 05,12000,4,1,Unreal Tournament 2004
Jul 05,3675,11,3,Halo: Combat Evolved
Jul 05,1252.96,11,3,Super Smash Bros. Melee
Jul 05,716.91,2,1,Age of Empires II
Aug 05,105884.4,153,11,Counter-Strike
Aug 05,58731.05,29,6,WarCraft III
Aug 05,57806.97,11,6,StarCraft: Brood War
Aug 05,50000,3,1,Doom 3
Aug 05,50000,19,1,Wolfenstein: Enemy Territory
Aug 05,34000,32,9,Halo 2
Aug 05,34000,7,3,Quake III Arena
Aug 05,20000,3,1,Quake II
Aug 05,9900,11,3,Age of Empires II
Aug 05,4000,2,1,Quake 4
Aug 05,3148.82,0,1,Battlefield 2
Aug 05,1800,7,4,Super Smash Bros. Melee
Aug 05,944.65,4,3,Unreal Tournament 2004
Aug 05,629.77,0,1,Call of Duty
Aug 05,629.77,0,1,Counter-Strike: Source
Aug 05,629.48,3,1,Need for Speed: Underground 2
Aug 05,0,3,1,Capcom vs. SNK 2
Aug 05,0,3,1,Guilty Gear XX #Reload
Aug 05,0,3,1,Marvel vs. Capcom 2
Aug 05,0,3,1,Street Fighter III: 3rd Strike
Aug 05,0,3,1,Super Street Fighter II Turbo
Aug 05,0,3,2,Tekken 5
Aug 05,0,3,1,Tekken Tag Tournament
Sep 05,73335.28,138,11,Counter-Strike
Sep 05,50000,16,1,Painkiller
Sep 05,14500,18,3,Halo 2
Sep 05,6685.62,11,3,WarCraft III
Sep 05,6134.97,8,1,Quake III Arena
Sep 05,3500,3,1,StarCraft: Brood War
Sep 05,1402.3,10,3,Counter-Strike: Source
Sep 05,1250,6,2,Super Smash Bros. Melee
Sep 05,550.64,3,1,Pro Evolution Soccer 4
Oct 05,150000,24,3,Painkiller
Oct 05,80958.36,112,8,Counter-Strike
Oct 05,22500,6,2,WarCraft III
Oct 05,21000,32,2,Halo 2
Oct 05,13000,2,1,StarCraft: Brood War
Oct 05,6000,7,2,Super Smash Bros. Melee
Oct 05,2500,8,1,Age of Empires II
Oct 05,603.85,25,2,Counter-Strike: Source
Nov 05,510000,32,1,Painkiller
Nov 05,85000,15,1,Counter-Strike: Source
Nov 05,70665.01,31,3,StarCraft: Brood War
Nov 05,56000,31,3,Halo 2
Nov 05,51966.13,34,5,WarCraft III
Nov 05,37556.16,157,5,Counter-Strike
Nov 05,35000,3,1,FIFA 05
Nov 05,35000,3,1,Need for Speed: Underground 2
Nov 05,35000,3,1,"Warhammer 40,000: Dawn of War"
Nov 05,30000,3,1,Dead or Alive Ultimate
Nov 05,14456.95,13,3,Quake 4
Nov 05,8677.5,13,4,Super Smash Bros. Melee
Nov 05,1736.36,0,1,Defense of the Ancients
Nov 05,1041.81,6,1,Quake III Arena
Nov 05,1041.81,6,1,Unreal Tournament 2004
Nov 05,694.54,4,1,FIFA 06
Nov 05,694.54,4,1,Need for Speed: Most Wanted
Dec 05,251755.3,198,11,Counter-Strike
Dec 05,57410.63,18,3,WarCraft III
Dec 05,33323.75,35,3,Quake 4
Dec 05,26000,2,1,FIFA 06
Dec 05,21000,32,2,Halo 2
Dec 05,13300.94,0,2,FIFA 05
Dec 05,6000,6,2,Super Smash Bros. Melee
Dec 05,4670.11,4,1,StarCraft: Brood War
Dec 05,1010.87,3,1,Live for Speed
Dec 05,450,9,1,Age of Empires II
Jan 06,107729.9,37,3,StarCraft: Brood War
Jan 06,1.00E+05,1,1,Madden NFL 2006
Jan 06,21000,60,1,Counter-Strike: Source
Jan 06,14338.37,16,2,WarCraft III
Jan 06,4802.57,25,2,Counter-Strike
Jan 06,3200,6,1,Quake 4
Jan 06,1500,18,1,Wolfenstein: Enemy Territory
Feb 06,101777.85,192,8,Counter-Strike
Feb 06,68750,32,2,Halo 2
Feb 06,19979,44,2,Age of Empires II
Feb 06,19250,12,2,Super Smash Bros. Melee
Feb 06,18128.13,7,2,WarCraft III
Feb 06,15000,21,2,StarCraft: Brood War
Feb 06,13092.34,18,4,Quake 4
Feb 06,2128.13,4,1,Quake III Arena
Feb 06,1198.56,10,1,Counter-Strike: Source
Mar 06,92154.77,98,7,Counter-Strike
Mar 06,40887.05,65,4,Counter-Strike: Source
Mar 06,40000,20,4,Quake 4
Mar 06,37540,26,2,StarCraft: Brood War
Mar 06,22000,9,3,WarCraft III
Mar 06,2970.79,0,2,Call of Duty 2
Mar 06,200,1,1,FIFA 06
Mar 06,0,3,1,Need for Speed: Most Wanted
Apr 06,44687.27,93,8,Counter-Strike
Apr 06,38975,26,2,Halo 2
Apr 06,9775,13,2,Super Smash Bros. Melee
Apr 06,9084.8,19,2,StarCraft: Brood War
Apr 06,8855.39,0,2,Battlefield 2
Apr 06,8000.66,40,4,Counter-Strike: Source
Apr 06,6222.83,9,3,Quake 4
Apr 06,619.88,0,1,Call of Duty 2
May 06,172812.19,221,6,Counter-Strike
May 06,47550,16,3,WarCraft III
May 06,38975,16,2,Halo 2
May 06,8896,19,3,StarCraft: Brood War
May 06,5275,18,2,Super Smash Bros. Melee
May 06,3000,0,1,Call of Duty 2
May 06,1878.84,20,2,Counter-Strike: Source
Jun 06,136497.9,137,17,Counter-Strike
Jun 06,124532.47,35,4,StarCraft: Brood War
Jun 06,57008.68,37,6,WarCraft III
Jun 06,38975,27,2,Halo 2
Jun 06,18000,6,2,Quake 4
Jun 06,9856.52,0,1,FIFA 06
Jun 06,6571.01,0,1,Battlefield 2
Jun 06,5275,19,2,Super Smash Bros. Melee
Jun 06,2707.88,30,2,Counter-Strike: Source
Jun 06,1895.48,5,1,Live for Speed
Jun 06,200,3,1,Age of Empires II
Jul 06,539579.04,308,10,Counter-Strike
Jul 06,111000,20,2,Quake 4
Jul 06,73193.08,16,1,StarCraft: Brood War
Jul 06,62975,32,4,Halo 2
Jul 06,50000,0,1,Battlefield 2
Jul 06,47543.74,17,13,WarCraft III
Jul 06,32000,4,1,Gran Turismo 4
Jul 06,32000,4,1,Pro Evolution Soccer 5
Jul 06,32000,4,1,TrackMania Nations
Jul 06,18000,34,5,Super Smash Bros. Melee
Jul 06,15000,2,1,Dead or Alive 4
Jul 06,15000,2,1,Forza Motorsport 2
Jul 06,10300,1,1,Day of Defeat
Jul 06,9000,3,1,Project Gotham Racing 3
Jul 06,8000,0,1,Ghost Recon Advanced Warfighter
Jul 06,1000,22,1,Wolfenstein: Enemy Territory
Jul 06,153.54,3,1,Age of Empires II
Aug 06,182686.53,187,11,Counter-Strike
Aug 06,78129.76,20,5,Quake 4
Aug 06,59518.46,51,9,WarCraft III
Aug 06,38975,28,2,Halo 2
Aug 06,30000,15,1,Wolfenstein: Enemy Territory
Aug 06,21797.89,20,3,StarCraft: Brood War
Aug 06,16564.37,13,3,FIFA 06
Aug 06,12175,12,4,Super Smash Bros. Melee
Aug 06,11083.84,35,3,Counter-Strike: Source
Aug 06,10250,8,1,Capcom vs. SNK 2
Aug 06,10250,8,1,Dead or Alive 4
Aug 06,10250,6,1,Guilty Gear XX Slash
Aug 06,10250,8,1,Hyper Street Fighter II
Aug 06,10250,8,1,Marvel vs. Capcom 2
Aug 06,10250,8,1,Street Fighter III: 3rd Strike
Aug 06,10250,8,1,Tekken 5
Aug 06,9482.11,0,1,Battlefield 2
Aug 06,7000,8,2,Need for Speed: Most Wanted
Aug 06,2797.89,8,1,Quake III Arena
Aug 06,663.74,0,1,Call of Duty 2
Aug 06,42.25,10,1,Age of Empires
Sep 06,207321.6,182,12,Counter-Strike
Sep 06,74724.89,23,11,WarCraft III
Sep 06,27300,11,3,StarCraft: Brood War
Sep 06,11500,4,1,Quake III Arena
Sep 06,9500,0,1,Call of Duty 2
Sep 06,9000,0,1,Quake 4
Sep 06,3850.2,19,1,Wolfenstein: Enemy Territory
Sep 06,247,15,1,Age of Empires
Oct 06,206173.01,95,7,Counter-Strike
Oct 06,97425,32,2,Halo 2
Oct 06,90560,29,7,StarCraft: Brood War
Oct 06,71637.78,16,7,WarCraft III
Oct 06,43000,3,1,"Warhammer 40,000: Dawn of War"
Oct 06,33861.29,17,6,Quake 4
Oct 06,28300,4,2,Project Gotham Racing 3
Oct 06,28284,18,3,Super Smash Bros. Melee
Oct 06,28000,5,2,Need for Speed: Most Wanted
Oct 06,27800,4,2,Dead or Alive 4
Oct 06,27000,3,1,FIFA 06
Oct 06,16386.77,46,4,Counter-Strike: Source
Oct 06,1300,2,1,FIFA 07
Nov 06,215067.85,47,7,StarCraft: Brood War
Nov 06,198000,13,2,Halo 2
Nov 06,150242.11,286,13,Counter-Strike
Nov 06,40000,10,1,TrackMania Nations
Nov 06,19869.62,50,4,Counter-Strike: Source
Nov 06,18000,8,2,Super Smash Bros. Melee
Nov 06,17387.74,12,2,Quake III Arena
Nov 06,17146.91,12,4,WarCraft III
Nov 06,14494.87,0,2,Call of Duty 2
Nov 06,10832.78,14,5,Quake 4
Nov 06,4166.08,0,2,Battlefield 2
Dec 06,292864.56,247,16,Counter-Strike
Dec 06,87982.99,13,4,WarCraft III
Dec 06,78328.25,11,4,StarCraft: Brood War
Dec 06,54697.31,20,2,Counter-Strike: Source
Dec 06,50000,32,1,Quake III Arena
Dec 06,35000,12,1,Halo 2
Dec 06,35000,3,1,Project Gotham Racing 3
Dec 06,35000,3,1,Quake 4
Dec 06,32149.1,5,3,FIFA 06
Dec 06,26000,3,1,FIFA 07
Dec 06,16000,0,1,Ghost Recon Advanced Warfighter
Dec 06,5000,16,1,Age of Empires II
Dec 06,738.83,5,1,Defense of the Ancients
Dec 06,0,0,1,Battlefield 2
Dec 06,0,1,1,Live for Speed
Jan 06,107729.9,37,3,StarCraft: Brood War
Jan 06,1.00E+05,1,1,Madden NFL 2006
Jan 06,21000,60,1,Counter-Strike: Source
Jan 06,14338.37,16,2,WarCraft III
Jan 06,4802.57,25,2,Counter-Strike
Jan 06,3200,6,1,Quake 4
Jan 06,1500,18,1,Wolfenstein: Enemy Territory
Feb 06,101777.85,192,8,Counter-Strike
Feb 06,68750,32,2,Halo 2
Feb 06,19979,44,2,Age of Empires II
Feb 06,19250,12,2,Super Smash Bros. Melee
Feb 06,18128.13,7,2,WarCraft III
Feb 06,15000,21,2,StarCraft: Brood War
Feb 06,13092.34,18,4,Quake 4
Feb 06,2128.13,4,1,Quake III Arena
Feb 06,1198.56,10,1,Counter-Strike: Source
Mar 06,92154.77,98,7,Counter-Strike
Mar 06,40887.05,65,4,Counter-Strike: Source
Mar 06,40000,20,4,Quake 4
Mar 06,37540,26,2,StarCraft: Brood War
Mar 06,22000,9,3,WarCraft III
Mar 06,2970.79,0,2,Call of Duty 2
Mar 06,200,1,1,FIFA 06
Mar 06,0,3,1,Need for Speed: Most Wanted
Apr 06,44687.27,93,8,Counter-Strike
Apr 06,38975,26,2,Halo 2
Apr 06,9775,13,2,Super Smash Bros. Melee
Apr 06,9084.8,19,2,StarCraft: Brood War
Apr 06,8855.39,0,2,Battlefield 2
Apr 06,8000.66,40,4,Counter-Strike: Source
Apr 06,6222.83,9,3,Quake 4
Apr 06,619.88,0,1,Call of Duty 2
May 06,172812.19,221,6,Counter-Strike
May 06,47550,16,3,WarCraft III
May 06,38975,16,2,Halo 2
May 06,8896,19,3,StarCraft: Brood War
May 06,5275,18,2,Super Smash Bros. Melee
May 06,3000,0,1,Call of Duty 2
May 06,1878.84,20,2,Counter-Strike: Source
Jun 06,136497.9,137,17,Counter-Strike
Jun 06,124532.47,35,4,StarCraft: Brood War
Jun 06,57008.68,37,6,WarCraft III
Jun 06,38975,27,2,Halo 2
Jun 06,18000,6,2,Quake 4
Jun 06,9856.52,0,1,FIFA 06
Jun 06,6571.01,0,1,Battlefield 2
Jun 06,5275,19,2,Super Smash Bros. Melee
